2024-11-11 14:16:41,554 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 14:16:41,555 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 14:16:45,658 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 14:16:49,733 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 14:16:55,841 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 14:16:55,872 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 14:17:01,923 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 14:17:01,955 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 14:17:08,012 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 14:17:08,027 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 14:17:11,568 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'Couldn't reconnect within the configured timeout of 00:00:30, disconnecting.'!  
2024-11-11 14:17:11,569 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'Couldn't reconnect within the configured timeout of 00:00:30, disconnecting.'!  
2024-11-11 14:17:25,730 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 14:17:25,731 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:17:39,790 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
